zip,tree_count,latitude,longitude,pm25,asthma_rate_per_10k
10001,911,40.75037164,-73.99904273,7.306428575,1891.28
10002,2265,40.71620676,-73.9889639,7.306428575,1891.28
10003,2025,40.73214046,-73.98790066,7.306428575,1891.28
10004,118,40.703449445000004,-74.012970455,7.306428575,1891.28
10005,144,40.70464966,-74.00753954999999,7.306428575,1891.28
10006,53,40.70667608,-74.01458244,7.306428575,1891.28
10007,355,40.71499263,-74.01169644,7.306428575,1891.28
10009,1924,40.725689065,-73.97977918000001,7.306428575,1891.28
10010,889,40.73853549,-73.9820446,7.306428575,1891.28
10011,2134,40.74232213,-73.999799715,7.306428575,1891.28
10012,1076,40.72591403,-73.998759,7.306428575,1891.28
10013,1202,40.72184651,-74.00845592499999,7.306428575,1891.28
10014,2591,40.73412453,-74.00574681,7.306428575,1891.28
10016,1872,40.745276095,-73.97856619000001,7.306428575,1891.28
10017,848,40.752089139999995,-73.971276595,7.306428575,1891.28
10018,485,40.75601815,-73.99539124,7.306428575,1891.28
10019,1715,40.76576517,-73.98795701,7.306428575,1891.28
10020,94,40.758641659999995,-73.97915971,7.306428575,1891.28
10021,1959,40.77007624,-73.96026059,7.306428575,1891.28
10022,1627,40.75781084,-73.96616481,7.306428575,1891.28
10023,2260,40.776230195,-73.98207020500001,7.306428575,1891.28
10024,3311,40.78736539,-73.97552527,7.306428575,1891.28
10025,3696,40.798578934999995,-73.96763939,7.306428575,1891.28
10026,1829,40.80296885,-73.95315606,7.306428575,1891.28
10027,2992,40.809808495,-73.950494675,7.306428575,1891.28
10028,1806,40.776670095,-73.95441114,7.306428575,1891.28
10029,2423,40.79127829,-73.94528129,7.306428575,1891.28
10030,1365,40.81824252,-73.94291488,7.306428575,1891.28
10031,2587,40.82522513,-73.94914907,7.306428575,1891.28
10032,2217,40.83782605,-73.94162345,7.306428575,1891.28
10033,1971,40.84998823,-73.93564435,7.306428575,1891.28
10034,1574,40.86700433,-73.921284985,7.306428575,1891.28
10035,2010,40.801570235,-73.938149025,7.306428575,1891.28
10036,894,40.760784205,-73.99277430000001,7.306428575,1891.28
10037,698,40.813354905,-73.93751352999999,7.306428575,1891.28
10038,374,40.710415305,-74.002507915,7.306428575,1891.28
10039,801,40.82520043,-73.93910513,7.306428575,1891.28
10040,1560,40.856997585,-73.929050605,7.306428575,1891.28
10048,12,40.710029954999996,-74.01177127,7.306428575,1891.28
10065,1911,40.76508486,-73.96392433,7.306428575,1891.28
10069,119,40.77694244,-73.98878306,7.306428575,1891.28
10075,899,40.77331432,-73.95531914,7.306428575,1891.28
10111,25,40.75897347,-73.97759591,7.306428575,1891.28
10115,7,40.81104929,-73.96419354,7.306428575,1891.28
10128,2136,40.78204459,-73.951710585,7.306428575,1891.28
10280,418,40.70825765,-74.016916385,7.306428575,1891.28
10281,72,40.711338915,-74.01577023,7.306428575,1891.28
10282,234,40.716504215,-74.015213775,7.306428575,1891.28
